Location ,Month,speed_mean,speed_std,drct_mean,drct_std,peak_wind_gust_mean,peak_wind_gust_std,peak_wind_drct_mean,peak_wind_drct_std
ATL,January,7.82669958936096,4.33988367127053,214.067742022061,109.275444463974,4.52811401272175,10.2538636032813,49.1899943637778,112.303740201908
ATL,February,7.48602744310575,4.22537290768219,198.570060863024,108.45508581863,3.89459071325993,9.76773596826813,29.0983377956269,87.6759958306398
ATL,March,7.69160252298481,4.2664189426501,200.204557997303,106.949452736696,3.99603731079968,9.88386859233404,38.2005024588411,99.0202620157964
ATL,April,7.4180578853476,4.24275701834394,204.267597644643,105.37730724206,4.36014396845119,10.3491389608332,48.8066139468008,107.179069265405
ATL,May,6.23039228741111,3.65066874089693,200.657735257518,104.765439618649,3.98335461141905,9.9584252329512,23.5191349969373,81.2761050648194
ATL,June,6.01501874043182,3.27206269759834,199.786643880048,104.077388748397,3.83116278861683,9.86223951084032,20.2095760967111,68.8823636599417
ATL,July,5.24469522371453,3.11656315709647,198.047092685017,104.860442099597,3.51571542300744,9.50838792926944,11.6490503059683,52.890250981914
ATL,August,5.26993350991945,3.21472054559833,195.148422570154,105.652318999237,3.25148020250108,9.20089441192083,7.48743175306773,41.8241912998249
ATL,September,5.95294495093976,3.67571394532787,190.804056328629,107.018148748985,3.06586767479064,8.95200611443962,6.4116621661364,34.6778264625241
ATL,October,6.7420102066669,3.7997823008419,189.217427924977,107.609728624036,2.9520729310601,8.79855771415238,15.2792355857975,66.4270894053349
ATL,November,7.06950052170757,4.19808234197847,189.696220270147,108.154493136748,2.96593182732356,8.80787960193874,34.5266070861497,98.923786269779
ATL,December,7.87089725708972,4.47248149618853,189.382974278305,108.38890058227,3.04810313256565,8.90297284885293,39.1692236169223,98.5383306366137
JFK,January,11.3207338160596,6.04749825882296,226.236625959148,109.913101910676,9.89260239922187,14.2314874265106,93.4207824489354,137.842741113943
JFK,February,10.7613963945324,5.82760781964029,214.044909725383,111.846217095565,8.88001544806278,13.7737889696687,82.4264492903546,132.67933525323
JFK,March,11.0293503342727,5.83630797431133,211.150482027708,112.208139694674,9.37057305205169,14.0182124419496,85.2701088096606,134.153752736879
JFK,April,11.0517871565661,5.8347001033932,208.817369163164,110.527244221402,9.65983107229394,14.1024403212185,86.9660091171679,133.886249293477
JFK,May,10.6784348129338,5.69454769198722,201.783912204797,109.679534429057,8.64631262328491,13.6309697867744,76.6737322769428,128.302056341467
JFK,June,10.3521823691709,5.54664498391811,198.707178072278,107.249578893852,7.6483830114433,13.0769432109356,67.5831561807408,122.486795157251
JFK,July,10.0769144113522,5.43368256931499,196.180655637088,104.865381138643,6.95159053564283,12.6477741732408,61.3096815044148,118.089471504155
JFK,August,9.84007632419415,5.32957666670247,193.974334119023,103.791414591362,6.46044168715923,12.3875287171606,56.6188109887792,114.534355968242
JFK,September,9.71272902867243,5.23795530630314,191.003702117708,104.446444025899,6.05332689486775,12.064319416113,52.5192926191495,111.069258933576
JFK,October,9.72608164043658,5.23902643421187,190.56827487184,104.838892226744,6.0539894780531,12.0531799682951,51.9363803605281,110.520933260868
JFK,November,9.79160082237102,5.28594117534391,192.041076270156,105.243678549205,6.22242335195471,12.1773787625998,53.6574370140955,112.093375926512
JFK,December,9.82678202545268,5.3025017820129,192.783101623015,105.927378101755,6.34062292743358,12.2437668482312,54.4972407493148,112.659149481204
LAX,January,5.12563303994583,3.89433972292186,144.970345294515,113.517919335405,2.01630331753554,7.40949305164705,16.4633716993906,66.6841201570239
LAX,February,5.70139224930525,4.3366546679475,156.574956103361,113.910784989178,3.02433325498762,8.80479167226122,27.5448298746007,85.2974307190903
LAX,March,6.16446324695928,4.56292124585537,165.323127701088,111.736217888513,3.23401229052316,9.0561774301692,29.5191378398584,86.028967422268
LAX,April,6.35928334781664,4.5650928598462,172.51941668477,109.172413542502,2.94278867043232,8.71607622691427,26.716271996524,82.4024402930239
LAX,May,6.51941632052613,4.57038332380004,179.526003807545,106.419848741267,2.59423135167878,8.22422740985751,23.675417532018,77.79191791158
LAX,June,6.58017889376835,4.47571893643828,184.613115284101,103.796852393799,2.22992159926718,7.67148084016842,20.3728749629549,72.6332813357141
LAX,July,6.62715668827999,4.41446995300436,189.551616387179,101.889604749816,1.94202068575865,7.19432405724978,17.7120367131859,67.9559245687738
LAX,August,6.62394870978557,4.37808039729988,192.070371637297,100.877575935402,1.71127578650753,6.78258104480425,15.6075472209333,64.0480772115101
LAX,September,6.56002331969011,4.34321630969085,192.490488811957,100.660161846873,1.51840332245481,6.41181455899872,13.8484700961035,60.5324352131286
LAX,October,6.47935765758763,4.3176880590836,190.505074338503,101.53439412919,1.40258546984821,6.17559685840912,12.7921630894615,58.2940752237339
LAX,November,6.40626382079149,4.29976891846283,188.071970152846,102.456842550935,1.35495821712443,6.07520160842763,12.3496261256782,57.2596058608175
LAX,December,6.34659942405963,4.287821963766,185.629891404015,103.80714278716,1.41074659119634,6.19836093036019,12.6987663377231,58.1603179727435
DCA,January,7.89459452223501,5.02422718327538,207.702605017268,118.014478852059,6.53701373457203,12.3880833116607,67.7465128109019,128.547971491684
DCA,February,7.71866276298767,4.76204320935781,195.21631374685,117.553789507631,5.4125553210322,11.5159063437199,55.9539729012051,119.247307147132
DCA,March,7.97680077871512,4.87838089557099,193.819399379912,117.790122168915,5.92988860047588,11.9153366290881,60.632255389718,122.992406182467
DCA,April,8.07386558521477,4.89871434055175,193.71432991008,115.678892792502,6.37966493822676,12.2436550502899,63.9477029235518,124.362408972849
