small_clusters,radius_record,radius_record_sample,size_record
3,372.52978909438997,348.00026893581173,48889
4,210.87515006631642,222.84408069778726,17928
5,266.4926226657443,296.53938264059906,22343
6,192.35551725558204,190.71372144038077,8551
8,84.9168341328903,84.9168341328903,104
9,7.311747882945749,7.311747882945749,36
10,504.293261837989,502.3736625514131,465
11,585.9705084187302,567.6697312667084,481
12,12.540408972483124,12.540408972483126,9
14,144.44884226989942,144.44884226989944,167
15,5.91130551285924,5.91130551285924,46
16,19.773811094184666,19.773811094184666,49
17,16.39393768104094,16.39393768104094,27
18,170.3933154758671,170.3933154758671,193
19,0.4325147995592745,0.4325147995592745,16
20,21.803716134381926,21.803716134381926,17
22,467.76612795935154,496.08118156414247,830
23,2.08606710952074,2.08606710952074,22
24,134.2926351195565,134.29263511955648,143
25,914.9867897132658,946.2730545489758,1095
26,12.596976654933883,12.596976654933883,26
27,1.7166481404543827,1.7166481404543827,15
28,0.8864466846572996,0.8864466846572996,16
29,22.47785340431134,22.477853404311332,33
30,22.586015420801207,22.586015420801207,15
31,22.32915335751724,22.32915335751724,15
36,529.1277508607137,574.4916563631301,46091
37,528.4747001840732,538.5379682219275,22360
38,447.2996675816022,427.6199910113246,17351
39,485.99216546679287,492.3217530641889,8269
40,594.0086631253325,576.6299843033333,504
41,298.5306347346578,291.90342840603444,253
43,308.0182224561799,308.8949876175713,380
44,10.844147853628796,10.844147853628796,47
45,8.779925779897974,8.779925779897972,61
46,7.388544325868315,7.388544325868315,35
47,461.3840760845728,435.34056520950065,295
48,192.95272989096765,192.95272989096765,123
50,210.66835137160888,212.25497643161296,239
51,14.18076491123525,14.18076491123525,111
52,8.138532460596604,8.138532460596604,66
53,300.2945896817104,301.0950870643359,313
54,13.038950696335046,13.038950696335046,19
55,9.583296702459121,9.583296702459121,28
56,21.22890033725789,21.228900337257887,18
58,263.07461147581705,258.9716029023833,348
59,10.932502978180501,10.932502978180503,22
60,42.90529878075159,42.90529878075159,72
61,12.459679789838788,12.459679789838788,29
62,13.189824683311727,13.189824683311727,43
63,13.655704652210428,13.655704652210428,19
64,24.958607590143206,24.958607590143213,26
69,201.87180652734375,262.0336449996575,52643
70,90.4272245883244,104.40070190927705,19505
71,90.05258723210827,88.12506594007176,9357
72,190.3704469828088,220.2761959867886,25028
74,260.84311046237406,249.90482323809982,409
75,632.6850521479483,634.4868137976802,779
76,97.00482804643029,97.00482804643028,185
77,871.3696254361398,873.1439975925863,1222
78,320.82177215398104,318.7506504234066,281
79,9.956063479106861,9.956063479106861,25
80,13.094570021973231,13.094570021973231,18
81,606.7539493040766,613.7571915894681,479
82,36.63471900878693,36.63471900878693,25
83,663.7520318212541,658.4260816511778,623
84,31.994879109188805,31.994879109188805,22
85,21.896664543158735,21.896664543158735,15
87,208.2467061736304,202.49373844359314,298
88,308.16538034578076,304.33377144743355,312
89,45.84205604559324,45.84205604559324,150
90,0.08751165265402282,0.08751165265402279,29
91,194.69859061646633,187.35903360711728,259
92,10.749191494580339,10.749191494580339,24
94,30.254003370262467,30.25400337026246,73
95,155.9889488252987,155.9889488252987,119
96,602.1097256551268,613.3322185854421,710
97,23.579276960959817,23.57927696095981,41
98,14.686219412161437,14.686219412161435,15
99,21.790941250032937,21.790941250032937,15
100,6.263430746291233,6.263430746291233,19
