agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1190753,vector_thrust,strategic,Decoupled,0,5170.0,5170.0,5982.776544497693,6842.837837837838,0.2194859981536865,,,
1191877,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,6542.8378378378375,0.2147777080535888,,,
1194457,vector_thrust,strategic,Decoupled,0,3330.0,3330.0,4142.776544497693,4142.8378378378375,0.1471459865570068,,,
1191678,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5572.8378378378375,0.2147777080535888,,,
1195936,vector_thrust,strategic,Decoupled,0,5830.0,5830.0,6642.776544497692,6702.8378378378375,0.2821903228759765,,,
1195400,vector_thrust,strategic,Decoupled,0,4160.0,4160.0,4972.776544497693,5832.837837837838,10.394341707229614,,,
1191482,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4392.8378378378375,0.2738864421844482,,,
1191732,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5842.8378378378375,0.2147777080535888,,,
1195259,vector_thrust,strategic,Decoupled,1,4360.0,4360.0,5172.776544497693,5512.8378378378375,0.1900537014007568,,,
1190688,vector_thrust,strategic,Decoupled,0,5170.0,5170.0,5982.776544497693,6682.837837837838,0.2194859981536865,,,
1195564,vector_thrust,strategic,Decoupled,0,4630.0,4630.0,5442.776544497693,5542.8378378378375,0.2599389553070068,,,
1195309,vector_thrust,strategic,Decoupled,0,4850.0,4850.0,5662.776544497693,5672.8378378378375,0.2126665115356445,,,
1190704,vector_thrust,strategic,Decoupled,0,5170.0,5170.0,5982.776544497693,6722.837837837838,0.2194859981536865,,,
1191646,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,5422.8378378378375,0.2738864421844482,,,
1191476,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4342.8378378378375,0.2738864421844482,,,
1194773,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5882.8378378378375,0.1513011455535888,,,
1195498,vector_thrust,strategic,Decoupled,0,4160.0,4160.0,4972.776544497693,5972.837837837838,10.394341707229614,,,
1191513,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4692.8378378378375,0.2738864421844482,,,
1191509,vector_thrust,strategic,Decoupled,0,3110.0,3110.0,3922.7765444976926,4662.8378378378375,0.2738864421844482,,,
1195408,vector_thrust,strategic,Decoupled,1,4360.0,4360.0,5172.776544497693,5842.8378378378375,0.1900537014007568,,,
1193646,vector_thrust,strategic,Decoupled,0,5130.0,5130.0,5942.776544497693,6032.8378378378375,0.3344995975494385,,,
1194508,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,4692.8378378378375,0.1513011455535888,,,
1191734,vector_thrust,strategic,Decoupled,0,4080.0,4080.0,4892.776544497693,5852.8378378378375,0.2147777080535888,,,
1193642,vector_thrust,strategic,Decoupled,0,5130.0,5130.0,5942.776544497693,6012.8378378378375,0.3344995975494385,,,
1195575,vector_thrust,strategic,Decoupled,0,4630.0,4630.0,5442.776544497693,5632.8378378378375,0.2599389553070068,,,
1194674,vector_thrust,strategic,Decoupled,1,3400.0,3400.0,4212.776544497693,5552.8378378378375,0.1513011455535888,,,
1195317,vector_thrust,strategic,Decoupled,1,4360.0,4360.0,5172.776544497693,5692.8378378378375,0.1900537014007568,,,
