agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1200094,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,3908.5135135135097,0.0081300735473632,,,
1201049,vector_thrust,strategic,LocalVO,0,4670.0,4670.0,5482.776544497692,5602.776544497692,0.0077698230743408,,,
1200957,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4759.256756756757,0.0106425285339355,,,
1201210,vector_thrust,strategic,LocalVO,0,2880.0,2880.0,3818.513513513513,4228.51351351351,0.0132851600646972,,,
1201373,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4418.007771698132,0.0371630191802978,,,
1200321,vector_thrust,strategic,LocalVO,1,2970.0,2970.0,4211.536679415107,4661.536679415108,0.0089418888092041,,,
1200978,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4929.256756756757,0.0106425285339355,,,
1201168,vector_thrust,strategic,LocalVO,0,2880.0,2880.0,3818.513513513513,4018.5135135135097,0.0132851600646972,,,
1200063,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3729.2567567567567,0.0046041011810302,,,
1200622,vector_thrust,strategic,LocalVO,0,3100.0,3100.0,4341.536679415107,4521.536679415107,0.0070276260375976,,,
1200247,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,4479.256756756757,0.0046041011810302,,,
1200510,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,3798.5135135135097,0.0074748992919921,,,
1201615,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5588.007771698132,0.0371630191802978,,,
1201124,vector_thrust,strategic,LocalVO,0,2560.0,2560.0,3801.536679415107,3801.536679415108,0.0137674808502197,,,
1200745,vector_thrust,strategic,LocalVO,1,2350.0,2350.0,3162.7765444976926,3222.776544497692,0.007974624633789,,,
1200326,vector_thrust,strategic,LocalVO,1,3140.0,3140.0,4381.536679415107,4671.536679415108,0.0099120140075683,,,
1201479,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4951.536679415108,0.0185394287109375,,,
1200470,vector_thrust,strategic,LocalVO,0,3150.0,3150.0,3962.7765444976926,4062.7765444976912,0.0074002742767333,,,
1200162,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,4228.51351351351,0.0081300735473632,,,
1200895,vector_thrust,strategic,LocalVO,0,3440.0,3440.0,3909.2567567567567,4269.256756756757,0.0068700313568115,,,
1200889,vector_thrust,strategic,LocalVO,0,3440.0,3440.0,3909.2567567567567,4239.256756756757,0.0068700313568115,,,
1201088,vector_thrust,strategic,LocalVO,0,1760.0,1760.0,2572.7765444976926,2572.7765444976926,0.0087320804595947,,,
1201608,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,5561.536679415108,0.0185394287109375,,,
1201574,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5398.007771698132,0.0371630191802978,,,
1201641,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5718.007771698132,0.0371630191802978,,,
1200133,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,4099.256756756757,0.0046041011810302,,,
1200044,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3539.2567567567567,0.0046041011810302,,,
1200569,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,4318.51351351351,0.0074748992919921,,,
1200960,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4779.256756756757,0.0106425285339355,,,
1200721,vector_thrust,strategic,LocalVO,0,940.0,940.0,1752.7765444976928,1752.7765444976917,0.0046958923339843,,,
1201750,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6248.007771698132,0.0371630191802978,,,
1201643,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5728.007771698132,0.0371630191802978,,,
1201721,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,6111.536679415108,0.0185394287109375,,,
1200623,vector_thrust,strategic,LocalVO,1,3920.0,3920.0,4389.256756756757,4519.256756756755,0.0149476528167724,,,
1200786,vector_thrust,strategic,LocalVO,1,2350.0,2350.0,3162.7765444976926,3602.776544497692,0.007974624633789,,,
1200955,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4749.256756756757,0.0106425285339355,,,
1201345,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4301.536679415108,0.0185394287109375,,,
1201570,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5378.007771698132,0.0371630191802978,,,
1201414,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4618.007771698132,0.0371630191802978,,,
1201503,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5058.007771698132,0.0371630191802978,,,
1201722,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6108.007771698132,0.0371630191802978,,,
1200231,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,4439.256756756757,0.0046041011810302,,,
1200618,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,4508.51351351351,0.0074748992919921,,,
