x,y,v_x,v_y,t
104175.0,120290.92858565852,-24.24871130596428,-14.000000000000002,3085.0
104057.6127868067,120219.47241260439,-23.477442638659063,-14.291234610825772,3090.0
103943.5370831539,120148.23165368238,-22.815140730559488,-14.248151784402541,3095.0
103829.4559256873,120077.00034305268,-22.81623149332128,-14.246262125939202,3100.0
103715.36930338468,120005.77850151637,-22.81732446052389,-14.244368307264008,3105.0
103601.2772051768,119934.56614996705,-22.818419641577083,-14.24247030986224,3110.0
103487.17961994704,119863.36330939159,-22.819517045952114,-14.240568115094858,3115.0
103373.07653653112,119792.1700008706,-22.82061668318219,-14.238661704197417,3120.0
103258.96794371681,119720.9862455792,-22.821718562863108,-14.236751058278884,3125.0
103144.85383024353,119649.8120647876,-22.822822694653745,-14.234836158320542,3130.0
103030.73418480215,119578.64747986173,-22.823929088276635,-14.23291698517481,3135.0
102916.60899603456,119507.49251226391,-22.82503775351854,-14.230993519564075,3140.0
102802.4782525334,119436.34718355352,-22.826148700231027,-14.229065742079516,3145.0
102688.34194284174,119365.21151538762,-22.82726193833102,-14.227133633179916,3150.0
102574.20005545273,119294.08552952168,-22.828377477801418,-14.225197173190436,3155.0
102460.05257880928,119222.96924781016,-22.829495328691664,-14.223256342301388,3160.0
102345.89950130369,119151.86269220733,-22.83061550111837,-14.221311120567023,3165.0
102231.74081127736,119080.76588476781,-22.831738005265862,-14.219361487904264,3170.0
102117.57649702042,119009.67884764736,-22.83286285138687,-14.217407424091439,3175.0
102003.40654677141,118938.60160310353,-22.833990049803095,-14.215448908766996,3180.0
101889.23094871688,118867.53417349639,-22.835119610905853,-14.213485921428216,3185.0
101775.0496909911,118796.47658128924,-22.836251545156696,-14.21151844142991,3190.0
101660.86276167566,118725.42884904933,-22.837385863088066,-14.209546447983067,3195.0
101546.67014879914,118654.39099944857,-22.838522575303944,-14.20756992015354,3200.0
101432.47184033673,118583.36305526427,-22.839661692480487,-14.205588836860679,3205.0
101318.26782420989,118512.34503937988,-22.840803225366695,-14.203603176875948,3210.0
