x,y,v_x,v_y,t
86812.5,30072.73214641463,-24.24871130596428,-13.999999999999996,5965.0
86676.02117427638,30009.968336317703,-27.2957651447235,-12.55276201938515,5970.0
86569.13441616893,29953.54532667152,-21.377351621488756,-11.284601929236729,5975.0
86462.25304728988,29897.11298842341,-21.37627377581106,-11.286467649621871,5980.0
86355.37707751797,29840.671306135067,-21.375193954381242,-11.288336457668683,5985.0
86248.5065167697,29784.220264311363,-21.374112149653573,-11.2902083647405,5990.0
86141.64137499951,29727.759847400037,-21.37302835403826,-11.292083382265599,5995.0
86034.78166220001,29671.290039791347,-21.371942559901083,-11.293961521737698,6000.0
85927.9273884022,29614.810825817764,-21.37085475956306,-11.295842794716497,6005.0
85821.07856367569,29558.322189753624,-21.369764945300066,-11.297727212828159,6010.0
85714.23519812898,29501.824115814794,-21.368673109342524,-11.299614787765842,6015.0
85607.3973019096,29445.316588158345,-21.36757924387499,-11.301505531290225,6020.0
85500.56488520443,29388.799590882194,-21.366483341035806,-11.303399455230037,6025.0
85393.73795823984,29332.27310802478,-21.365385392916767,-11.305296571482579,6030.0
85286.91653128203,29275.737123564708,-21.364285391562685,-11.307196892014286,6035.0
85180.10061463717,29219.191621420403,-21.36318332897108,-11.309100428861258,6040.0
85073.2902186517,29162.636585449753,-21.362079197091724,-11.31100719412981,6045.0
84966.48535371257,29106.071999449767,-21.360972987826354,-11.312917199997024,6050.0
84859.68603024744,29049.49784715621,-21.359864693028193,-11.314830458711329,6055.0
84752.89225872493,28992.914112243245,-21.358754304501613,-11.316746982593056,6060.0
84646.10404965491,28936.32077832307,-21.357641814001713,-11.318666784035008,6065.0
84539.32141358874,28879.71782894555,-21.356527213233946,-11.320589875503044,6070.0
84432.54436111946,28823.10524759787,-21.355410493853686,-11.322516269536665,6075.0
84325.77290288213,28766.483017704122,-21.354291647465846,-11.324445978749594,6080.0
84219.00704955401,28709.85112262497,-21.353170665624447,-11.326379015830392,6085.0
84112.24681185486,28653.209545657253,-21.352047539832206,-11.328315393543045,6090.0
84005.49220054716,28596.558270033616,-21.35092226154013,-11.33025512472757,6095.0
83898.74322643642,28539.89727892211,-21.349794822147082,-11.33219822230065,6100.0
83791.99990037142,28483.22655542583,-21.34866521299934,-11.334144699256234,6105.0
83685.26223324447,28426.5460825825,-21.347533425390182,-11.336094568666176,6110.0
83578.53023599168,28369.855843364094,-21.34639945055944,-11.33804784368086,6115.0
83471.80391959322,28313.155820676446,-21.34526327969305,-11.340004537529856,6120.0
83365.08329507361,28256.445997358835,-21.344124903922634,-11.341964663522555,6125.0
83258.36837350199,28199.72635618359,-21.342984314325005,-11.343928235048825,6130.0
83151.65916599237,28142.99687985569,-21.341841501921742,-11.345895265579667,6135.0
83044.95568370399,28086.25755101235,-21.34069645767872,-11.347865768667909,6140.0
82938.25793784145,28029.508352222605,-21.33954917250565,-11.349839757948821,6145.0
82831.56593965518,27972.749265986902,-21.33839963725558,-11.35181724714088,6150.0
82724.87970044155,27915.98027473667,-21.337247842724466,-11.353798250046381,6155.0
82618.1992315433,27859.20136083391,-21.336093779650646,-11.35578278055218,6160.0
82511.52454434973,27802.41250657076,-21.334937438714384,-11.35777085263038,6165.0
82404.85565029705,27745.613694169064,-21.333778810537368,-11.359762480339048,6170.0
82298.19256086863,27688.80490577995,-21.3326178856822,-11.361757677822919,6175.0
82191.53528759537,27631.98612348338,-21.331454654651925,-11.363756459314143,6180.0
82084.88384205592,27575.157329287715,-21.33028910788949,-11.365758839133003,6185.0
81978.23823587703,27518.31850512927,-21.329121235777258,-11.36776483168866,6190.0
81871.59848073384,27461.46963287187,-21.32795102863648,-11.369774451479907,6195.0
81764.96458835021,27404.61069430639,-21.326778476726748,-11.371787713095918,6200.0
81658.33657049898,27347.741671150303,-21.325603570245526,-11.373804631217007,6205.0
81551.71443900235,27290.862545047225,-21.32442629932754,-11.375825220615427,6210.0
81445.09820573212,27233.973297566445,-21.323246654044297,-11.377849496156133,6215.0
81338.4878826101,27177.073910202456,-21.322064624403495,-11.379877472797563,6220.0
81231.88348160837,27120.164364374494,-21.320880200348512,-11.38190916559246,6225.0
81125.28501474958,27063.244641426052,-21.319693371757808,-11.383944589688648,6230.0
81018.69249410735,27006.314722624404,-21.318504128444378,-11.385983760329902,6235.0
80912.10593180658,26949.37458916012,-21.317312460155186,-11.388026692856696,6240.0
80805.52534002373,26892.424222146587,-21.316118356570573,-11.3900734027071,6245.0
80698.95073098721,26835.4636026195,-21.3149218073037,-11.392123905417604,6250.0
80592.38211697771,26778.49271153638,-21.313722801899914,-11.394178216623951,6255.0
80485.81951032853,26721.511529776068,-21.312521329836184,-11.396236352062028,6260.0
80379.26292342592,26664.520038138224,-21.311317380520496,-11.398298327568712,6265.0
80272.71236870947,26607.51821734281,-21.310110943291225,-11.400364159082764,6270.0
80158.00442225888,26519.0658147879,-22.941589290119204,-17.690480510982418,6275.0
80043.27162809164,26430.65596464545,-22.94655883344774,-17.681970028489552,6280.0
79928.51393147874,26342.288795180004,-22.95153932257832,-17.673433893089523,6285.0
79813.73127743963,26253.964435378766,-22.9565308078232,-17.664871960247485,6290.0
79698.92361074037,26165.683014957624,-22.961533339850202,-17.656284084228453,6295.0
79584.09087589194,26077.4446643672,-22.966546969686128,-17.64767011808409,6300.0
79469.23301714833,25989.249514799005,-22.971571748720198,-17.63902991363933,6305.0
79354.34997850479,25901.09769819161,-22.976607728707545,-17.630363321478825,6310.0
79239.44170369592,25812.989347236944,-22.981654961772737,-17.621670190933152,6315.0
79124.50813619385,25724.92459538662,-22.986713500413362,-17.612950370064908,6320.0
79009.54921920632,25636.903576858345,-22.991783397503628,-17.604203705654523,6325.0
78894.56489567483,25548.926426642414,-22.99686470629803,-17.595430043185974,6330.0
78779.55510827266,25460.993280508254,-23.00195748043505,-17.586629226832216,6335.0
78664.51979940296,25373.10427501105,-23.007061773940922,-17.577801099440446,6340.0
78549.4589111968,25285.259547498463,-23.01217764123341,-17.568945502517163,6345.0
78434.37238551116,25197.459236117396,-23.01730513712567,-17.560062276213007,6350.0
