x,y,v_x,v_y,t
52087.5,30072.73214641463,24.5,42.43524478543749,5095.0
51946.653304107684,30330.39758317048,-28.16933917846346,51.53308735117015,5100.0
52072.53217375072,30562.227977771196,25.175773928606933,46.36607892014313,5105.0
52198.465315618,30794.02650173887,25.186628373455754,46.35970479353495,5110.0
52324.45317143384,31025.79287669312,25.197571163167638,46.35327499085042,5115.0
52424.42127984972,31270.25460573931,19.993621683175988,48.89234580923708,5120.0
52550.70209077864,31501.848520490294,25.2561621857846,46.318782950197146,5125.0
52659.38413932758,31742.470805908277,21.736409709788127,48.12445708359701,5130.0
52785.90437382963,31973.923367113137,25.304046900410246,46.29051224097181,5135.0
52912.48176061402,32205.342131919882,25.315477356877132,46.283752961348824,5140.0
53039.1167872389,32436.726790837845,25.327005324975854,46.27693178359244,5145.0
53165.80994942659,32668.07702899086,25.3386324375387,46.27004763060322,5150.0
53292.56175126856,32899.392525978416,25.350360368392817,46.26309939751042,5155.0
53419.37270543725,33130.672955732014,25.36219083373821,46.2560859507192,5160.0
53546.24333340517,33361.9179863666,25.37412559358384,46.24900612691695,5165.0
53673.17416567139,33593.12728002678,25.386166453245032,46.24185873203659,5170.0
53800.165741995916,33824.300492727656,25.398315264905168,46.234642540174484,5175.0
53927.21861164214,34055.43727418996,25.410573929245135,46.2273562924607,5180.0
54054.33333362787,34286.53726766935,25.422944397143983,46.219998695879056,5185.0
54181.51047698514,34517.60010977952,25.435428671454655,46.212568422034174,5190.0
54308.75062102943,34748.625430308835,25.448028808858663,46.20506410586281,5195.0
54436.05435563845,34979.61285203027,25.460746921804045,46.19748434428635,5200.0
54563.422281541105,35210.56199050427,25.473585180531156,46.189827694801174,5205.0
54690.85501061706,35441.47245387429,25.486545815191004,46.182092674003606,5210.0
54818.353166207366,35672.34384265452,25.49963111806126,46.17427775604555,5215.0
54945.917383436696,35903.1757495096,25.512843445865514,46.16638137101719,5220.0
55073.5483095477,36133.967759025865,25.52618522220139,46.158401903252276,5225.0
55201.246604248125,36364.719447473624,25.539658940083932,46.15033768955167,5230.0
55329.01294007118,36595.430382560226,25.553267164610613,46.14218701732059,5235.0
55456.84800274996,36826.100123173295,25.567012535755243,46.133948122614036,5240.0
55584.75249160645,37056.72821911372,25.58089777129819,46.12561918808548,5245.0
55712.727119955955,37287.31421081788,25.594925669901023,46.11719834083254,5250.0
55840.772615527625,37517.857629068545,25.609099114334047,46.10868365013375,5255.0
55968.889720901956,37748.35799469389,25.623421074866176,46.100073125069656,5260.0
56097.07919396609,37978.814818253995,25.637894612826795,46.091364712021054,5265.0
56225.34180838784,38209.22759971418,25.652522884350304,46.08255629203677,5270.0
56353.67835410941,38439.59582810449,25.667309144314622,46.073645678062796,5275.0
56482.08963786184,38669.91898116461,25.68225675048584,46.06463061202386,5280.0
56610.576483701254,38900.19652497335,25.6973691678821,46.0555087617481,5285.0
56739.13973356811,39130.42791356197,25.712649973370688,46.04627771772444,5290.0
56867.78024787068,39360.61258851038,25.728102860513523,46.03693498968197,5295.0
56996.498906094064,39590.74997852528,25.743731644677144,46.027478002979095,5300.0
57125.29660743619,39820.83949899923,25.759540268424928,46.01790409479025,5305.0
57254.17427147224,40050.88055154961,25.775532807210084,46.008210510075884,5310.0
57383.13283884919,40280.87252353622,25.791713475390093,45.99839439732125,5315.0
57512.173272012114,40510.81478755636,25.808086632584413,45.98845280402771,5320.0
57641.29655596411,40740.70670091605,25.82465679039905,45.97838267193946,5325.0
57770.50369906183,40970.54760507598,25.84142861954409,45.96818083198651,5330.0
57899.79573384869,41200.336825070604,25.858406957371436,45.9578439989239,5335.0
58029.173717928,41430.073668898825,25.87559681586341,45.94736876564491,5340.0
58158.63873487852,41659.75742688455,25.893003390104425,45.93675159714432,5345.0
58288.01985527302,41888.05516851462,25.87622407890016,45.659548326013955,5350.0
58417.40724088242,42115.72134356217,25.87747712187921,45.533235009508665,5355.0
58546.794065729526,42342.72622995485,25.877364969421002,45.40097727853733,5360.0
58676.17291342932,42569.03723650646,25.875769539958547,45.26220131032168,5365.0
58805.5356936552,42794.61841441071,25.872556045175724,45.11623558084952,5370.0
58934.87354023243,43019.429850447625,25.867569315446513,44.9622872073831,5375.0
59064.176685268845,43243.42690394522,25.86062900728226,44.79941069951825,5380.0
59193.43430149619,43466.559233876964,25.8515232454689,44.62646598634851,5385.0
59322.63430161785,43688.76953868215,25.840000024331854,44.44206096103663,5390.0
59451.763078212476,43909.991894241444,25.82575531892538,44.24447111185882,5395.0
59580.80515933122,44130.149515565936,25.808416223749276,44.03152426489848,5400.0
59705.25948100298,44332.9822274495,24.890864334351253,40.566542376712896,5405.0
59829.70435694542,44535.67212694786,24.888975188487656,40.53797989967152,5410.0
59954.13855658219,44738.212979441814,24.88683992735505,40.50817049879146,5415.0
60078.56072192862,44940.59780133475,24.88443306928589,40.47696437858613,5420.0
60202.96934488676,45142.81870801824,24.88172459162839,40.44418133669868,5425.0
60327.362738207594,45344.8667165672,24.878678664166333,40.409601709792014,5430.0
60451.7389976071,45546.73148462449,24.875251879901246,40.372953611458534,5435.0
60576.09595117983,45748.40095685835,24.871390714546493,40.33389444677159,5440.0
60700.4310899705,45949.86087317722,24.867027758134856,40.29198326377397,5445.0
60824.74146949252,46151.09406208941,24.862075904402552,40.246637782438924,5450.0
60949.02356428602,46352.07938415566,24.856418958701166,40.19706441324897,5455.0
61073.27304198068,46552.79007137556,24.849895538932383,40.14213744397955,5460.0
61197.48438857852,46753.1909425509,24.842269319567315,40.080174235068235,5465.0
