x,y,v_x,v_y,t
138900.0,60145.46429282926,-26.45751311064591,-9.16515138991168,6970.0
138780.39223431016,60117.13781327865,-23.921553137967962,-5.665295910122182,6975.0
138656.0758769545,60088.977011572955,-24.863271471130854,-5.632160341139361,6980.0
138531.76657583463,60060.795854217584,-24.861860223973956,-5.636231471073964,6985.0
138407.46434283117,60032.594317080635,-24.860446600689496,-5.640307427389693,6990.0
138283.16918985892,60004.37237596945,-24.859030594448363,-5.64438822223679,6995.0
138158.88112886695,59976.13000663038,-24.85761219839282,-5.648473867812628,7000.0
138034.60017183877,59947.867184748575,-24.85619140563635,-5.652564376361976,7005.0
137910.32633079245,59919.583885947686,-24.85476820926348,-5.656659760177233,7010.0
137786.0596177808,59891.280085789695,-24.853342602329665,-5.660760031598688,7015.0
137661.80004489148,59862.955759774624,-24.85191457786107,-5.664865203014768,7020.0
137537.5476242472,59834.61088334031,-24.850484128854436,-5.668975286862288,7025.0
137413.30236800582,59806.24543186218,-24.84905124827693,-5.673090295626718,7030.0
137289.0642883605,59777.85938065297,-24.847615929065945,-5.677210241842435,7035.0
137164.83339753986,59749.4527049625,-24.846178164128954,-5.681335138092972,7040.0
137040.60970780815,59721.025379977444,-24.844737946343347,-5.685464997011302,7045.0
136916.39323146536,59692.57738082104,-24.843295268556254,-5.689599831280086,7050.0
136792.18398084745,59664.108682552884,-24.841850123584358,-5.69373965363193,7055.0
136667.98196832638,59635.619260168634,-24.840402504213767,-5.697884476849671,7060.0
136545.51744786603,59602.42835891901,-24.49290409206918,-6.638180249925281,7065.0
136423.6957765482,59567.619128806036,-24.364334263567446,-6.961846022595008,7070.0
136302.70430182773,59530.80219582702,-24.198294944095885,-7.363386595803881,7075.0
136182.8336554995,59491.4057457935,-23.97412926564566,-7.879290006704217,7080.0
136064.58228952927,59448.51278985315,-23.650273194048147,-8.5785911880701,7085.0
135948.9623367948,59400.417533492415,-23.123990546892568,-9.619051272147058,7090.0
135838.9107640504,59342.78710875501,-22.010314548874305,-11.526084947481447,7095.0
135714.7145019815,59314.28122911515,-24.839252413779764,-5.701175927971789,7100.0
135648.67597785345,59213.121811989724,-13.207704825612378,-20.231883425085712,7105.0
135538.52105149633,59162.61903123953,-22.030985271427117,-10.100556150039253,7110.0
135414.2877372238,59134.21930718923,-24.846662854502554,-5.679944810058293,7115.0
135290.061774741,59105.79849825192,-24.84519249656164,-5.684161787463134,7120.0
135165.8431768706,59077.356578490755,-24.84371957408223,-5.688383952232838,7125.0
135041.63195647352,59048.89352190114,-24.84224407941766,-5.69261131792263,7130.0
134917.4281264491,59020.40930241043,-24.84076600488802,-5.696843898142312,7135.0
134793.2316997352,58991.90389387764,-24.839285342779924,-5.701081706556604,7140.0
134669.04268930847,58963.37727009322,-24.837802085346365,-5.705324756885394,7145.0
134547.75506058693,58927.26647159819,-24.257525744304075,-7.222159699005449,7150.0
134429.6033348818,58884.16634024855,-23.63034514102745,-8.620026269927784,7155.0
134312.07617751657,58839.78698041222,-23.505431473043984,-8.875871967266372,7160.0
134196.68438535967,58791.26483293995,-23.078358431379836,-9.704429494452638,7165.0
134080.03432307835,58745.142621425846,-23.330012456264583,-9.224442302821323,7170.0
133955.84662729647,58716.61223806964,-24.837539156373175,-5.706076671240741,7175.0
133832.814055756,58684.90243188065,-24.60651430809471,-6.341961237799026,7180.0
133708.639567658,58656.33429671997,-24.834897619598962,-5.713627032135843,7185.0
133584.47259997416,58627.74468124524,-24.83339353676976,-5.7179230949468725,7190.0
