x,y,v_x,v_y,t
86812.5,90218.19643924388,-26.45751311064591,-9.165151389911678,1060.0
86676.43619510952,90153.88898671376,-27.212760978094856,-12.861490506023042,1065.0
86551.11823717867,90101.15027179831,-25.063591586168975,-10.547742983089842,1070.0
86425.79586034104,90048.42432246041,-25.064475367527738,-10.545189867577934,1075.0
86300.46905948437,89995.71115746195,-25.06536017133345,-10.542632999692751,1080.0
86175.13782948333,89943.01079561988,-25.06624600020738,-10.540072368414679,1085.0
86049.80216519942,89890.3232558065,-25.06713285678128,-10.537507962675432,1090.0
85924.46206148094,89837.64855694972,-25.06802074369746,-10.534939771357767,1095.0
85799.1175131629,89784.98671803324,-25.06890966360882,-10.532367783295204,1100.0
85673.768515067,89732.33775809688,-25.06979961917894,-10.529791987271738,1105.0
85548.41506200159,89679.70169623678,-25.070690613082103,-10.527212372021545,1110.0
85423.05714876157,89627.07855160563,-25.071582648003375,-10.524628926228665,1115.0
85297.69477012838,89574.468343413,-25.07247572663866,-10.52204163852673,1120.0
85172.32792086991,89521.8710909255,-25.073369851694775,-10.519450497498648,1125.0
85046.95659574046,89469.28681346712,-25.074265025889467,-10.516855491676312,1130.0
84921.5807894807,89416.71553041942,-25.075161251951524,-10.514256609540285,1135.0
84796.20049681759,89364.15726122182,-25.076058532620806,-10.511653839519502,1140.0
84670.81571246435,89311.61202537185,-25.07695687064831,-10.509047169990945,1145.0
84545.42643112037,89259.07984242546,-25.07785626879624,-10.506436589279353,1150.0
84420.03264747118,89206.56073199718,-25.07875672983806,-10.503822085656894,1155.0
84294.63435618838,89154.05471376046,-25.079658256558567,-10.501203647342852,1160.0
84169.23155192961,89101.56180744794,-25.080560851753937,-10.498581262503302,1165.0
84043.82422933845,89049.08203285169,-25.081464518231815,-10.495954919250805,1170.0
83918.4123830444,88996.61540982347,-25.082369258811354,-10.493324605644066,1175.0
83792.99600766279,88944.16195827503,-25.08327507632329,-10.49069030968762,1180.0
83667.57509779475,88891.72169817837,-25.084181973610004,-10.488052019331501,1185.0
83542.14964802712,88839.29464956601,-25.085089953525593,-10.485409722470909,1190.0
83416.71965293244,88786.88083253129,-25.085999018935922,-10.482763406945873,1195.0
83291.28510706885,88734.48026722859,-25.08690917271873,-10.480113060540926,1200.0
83165.84600498003,88682.09297387366,-25.08782041776362,-10.477458670984754,1205.0
83040.40234119518,88629.71897274391,-25.088732756972213,-10.474800225949865,1210.0
82914.9541102289,88577.35828417866,-25.089646193258158,-10.472137713052232,1215.0
82789.50130658115,88525.0109285794,-25.090560729547217,-10.469471119850972,1220.0
82664.04392473727,88472.67692641016,-25.091476368777336,-10.46680043384796,1225.0
82538.58195916777,88420.35629819772,-25.092393113898723,-10.464125642487504,1230.0
82413.1154043284,88368.04906453194,-25.093310967873897,-10.461446733155995,1235.0
82287.64425466002,88315.75524606602,-25.094229933677763,-10.458763693181524,1240.0
82162.16850458852,88263.47486351685,-25.0951500142977,-10.456076509833544,1245.0
82036.68814852486,88211.20793766524,-25.09607121273362,-10.453385170322495,1250.0
81911.20318086488,88158.95448935624,-25.096993531998027,-10.450689661799446,1255.0
81785.71359598929,88106.71453949946,-25.097916975116117,-10.447989971355724,1260.0
81660.21938826366,88054.48810906935,-25.09884154512583,-10.445286086022538,1265.0
81534.72055203827,88002.2752191055,-25.099767245077924,-10.44257799277062,1270.0
81409.2170816481,87950.07589071295,-25.10069407803606,-10.43986567850982,1275.0
81283.7089714127,87897.89014506251,-25.101622047076873,-10.43714913008875,1280.0
81158.19621563626,87845.71800339104,-25.102551155290037,-10.43442833429441,1285.0
81032.67880860736,87793.55948700178,-25.10348140577835,-10.431703277851755,1290.0
80907.15674459908,87741.41461726466,-25.10441280165781,-10.428973947423358,1295.0
80781.6300178688,87689.2834156166,-25.105345346057685,-10.42624032960899,1300.0
80656.09862265819,87637.16590356188,-25.106279042120594,-10.423502410945238,1305.0
80530.56255319317,87585.06210267235,-25.10721389300259,-10.420760177905091,1310.0
80405.0218036838,87532.97203458786,-25.10814990187323,-10.418013616897552,1315.0
80279.47636832422,87480.89572101652,-25.109087071915653,-10.415262714267225,1320.0
80153.92624129259,87428.83318373506,-25.11002540632667,-10.41250745629392,1325.0
80028.371416751,87376.7844445891,-25.110964908316838,-10.409747829192224,1330.0
79902.81188884545,87324.74952549353,-25.111905581110523,-10.406983819111094,1335.0
79777.24765170572,87272.72844843287,-25.112847427946022,-10.40421541213345,1340.0
79651.67869944534,87220.72123546149,-25.1137904520756,-10.401442594275737,1345.0
79526.10502616152,87168.72790870405,-25.114734656765613,-10.398665351487514,1350.0
79400.52662593503,87116.74849035579,-25.115680045296553,-10.395883669651017,1355.0
79274.94349283022,87064.78300268289,-25.116626620963157,-10.39309753458073,1360.0
79149.35562089484,87012.83146802278,-25.117574387074484,-10.39030693202296,1365.0
79012.09697720845,86963.56022698198,-27.451728737277943,-9.8542482081605,1370.0
78874.83696560991,86914.29301591446,-27.452002319708296,-9.853442213502536,1375.0
78737.57558373197,86865.02984219792,-27.452276375588255,-9.852634743307403,1380.0
78600.31282919916,86815.7707132365,-27.452550906564124,-9.851825792283266,1385.0
78463.0486996277,86766.51563646096,-27.452825914290813,-9.851015355109983,1390.0
78325.78319262555,86717.26461932877,-27.453101400431905,-9.850203426438902,1395.0
78188.51630579225,86668.0176693243,-27.45337736665975,-9.849390000892663,1400.0
78051.24803671897,86618.77479395898,-27.453653814655457,-9.848575073064998,1405.0
77913.97838298843,86569.53600077138,-27.45393074610903,-9.847758637520514,1410.0
77776.70734217484,86520.3012973274,-27.454208162719375,-9.846940688794497,1415.0
77639.43491184387,86471.07069122043,-27.4544860661944,-9.846121221392684,1420.0
77502.16108955261,86421.84419007148,-27.45476445825105,-9.845300229791064,1425.0
77364.88587284954,86372.6218015293,-27.455043340615386,-9.844477708435669,1430.0
77227.60925927442,86323.40353327058,-27.455322715022664,-9.843653651742336,1435.0
77090.33124635834,86274.1893930001,-27.455602583217363,-9.842828054096506,1440.0
76953.05183162358,86224.97938845083,-27.455882946953288,-9.842000909852997,1445.0
76815.77101258362,86175.77352738415,-27.45616380799361,-9.841172213335788,1450.0
76678.48878674307,86126.57181758997,-27.45644516811095,-9.840341958837802,1455.0
76541.20515159763,86077.37426688687,-27.45672702908744,-9.839510140620638,1460.0
76403.92010463406,86028.18088312229,-27.457009392714788,-9.838676752914397,1465.0
76266.63364333009,85978.9916741727,-27.45729226079435,-9.837841789917418,1470.0
76129.3457651544,85929.80664794373,-27.4575756351372,-9.83700524579607,1475.0
75992.05646756658,85880.6258123703,-27.457859517564216,-9.836167114684477,1480.0
75854.76574801705,85831.44917541688,-27.45814390990611,-9.835327390684327,1485.0
75717.47360394703,85782.27674507756,-27.458428814003533,-9.834486067864606,1490.0
75580.1800327885,85733.10852937624,-27.458714231707138,-9.833643140261364,1495.0
75442.8850319641,85683.94453636686,-27.459000164877672,-9.83279860187747,1500.0
75305.58859888717,85634.78477413346,-27.459286615385988,-9.831952446682372,1505.0
75168.29073096161,85585.6292507904,-27.45957358511321,-9.83110466861184,1510.0
75030.99142558186,85536.47797448256,-27.45986107595072,-9.830255261567718,1515.0
74893.69068013286,85487.33095338548,-27.46014908980029,-9.829404219417682,1520.0
74756.38849198999,85438.1881957055,-27.460437628574137,-9.828551535994968,1525.0
74619.08485851901,85389.04970968001,-27.460726694195007,-9.827697205098131,1530.0
74481.77977707602,85339.91550357756,-27.46101628859624,-9.826841220490778,1535.0
74344.47324500741,85290.78558569806,-27.461306413721868,-9.8259835759013,1540.0
74207.16525964977,85241.65996437294,-27.46159707152667,-9.825124265022616,1545.0
74069.85581832989,85192.53864796538,-27.46188826397627,-9.824263281511902,1550.0
73932.54491836466,85143.42164487042,-27.462179993047215,-9.823400618990329,1555.0
73795.23255706103,85094.30896351521,-27.462472260727054,-9.822536271042779,1560.0
73657.91873171595,85045.20061235913,-27.462765069014406,-9.821670231217574,1565.0
73520.60343961636,84996.096599894,-27.463058419919065,-9.820802493026214,1570.0
73383.28667803905,84946.99693464428,-27.463352315462078,-9.819933049943067,1575.0
73245.96844425067,84897.90162516726,-27.463646757675818,-9.819061895405113,1580.0
73108.64873550765,84848.8106800532,-27.46394174860407,-9.818189022811646,1585.0
72971.32754905614,84799.72410792558,-27.464237290302133,-9.81731442552399,1590.0
72834.00488213195,84750.64191744124,-27.464533384836898,-9.816438096865213,1595.0
72696.68073196051,84701.56411729065,-27.46483003428692,-9.815560030119816,1600.0
72559.35509575681,84652.49071619798,-27.465127240742532,-9.814680218533464,1605.0
72422.02797072528,84603.42172292141,-27.465425006305917,-9.813798655312656,1610.0
72284.69935405982,84554.35714625329,-27.46572333309121,-9.812915333624451,1615.0
72147.36924294369,84505.29699502031,-27.466022223224567,-9.812030246596144,1620.0
72010.03763454947,84456.24127808373,-27.466321678844285,-9.811143387314976,1625.0
