x,y,v_x,v_y,t
138900.0,60145.46429282926,-28.0,0.0,1500.0
138774.1001240089,60116.399478196676,-25.179975198219925,-5.812962926516291,1505.0
138611.90591821,60107.30594875093,-32.438841159783706,-1.8187058891488708,1510.0
138449.7117146454,60098.22163820878,-32.43884071291686,-1.8168621084304737,1515.0
138287.5175139264,60089.146558847526,-32.43884014380055,-1.8150158722509298,1520.0
138125.32331666668,60080.08072297512,-32.438839451946556,-1.8131671744805646,1525.0
137963.12912348236,60071.024142930284,-32.43883863686437,-1.8113160089672387,1530.0
137800.93493499205,60061.976831082604,-32.43883769806121,-1.8094623695362388,1535.0
137638.74075181683,60052.93879983266,-32.43883663504197,-1.8076062499901706,1540.0
137476.54657458028,60043.910061612114,-32.438835447309245,-1.805747644108845,1545.0
137314.35240390847,60034.89062888387,-32.438834134363276,-1.8038865456491684,1550.0
137152.15824042997,60025.88051414215,-32.438832695701976,-1.8020229483450338,1555.0
136989.96408477586,60016.87972991261,-32.438831130820894,-1.8001568459072073,1560.0
136827.76993757978,60007.888288752496,-32.43882943921321,-1.7982882320232132,1565.0
136665.57579947793,59998.906203250706,-32.43882762036971,-1.7964171003572271,1570.0
136503.38167110903,59989.933486027956,-32.438825673778794,-1.7945434445499526,1575.0
136341.1875531144,59980.970149736866,-32.43882359892645,-1.7926672582185161,1580.0
136178.99344613793,59972.016207062086,-32.43882139529622,-1.7907885349563453,1585.0
136016.7993508261,59963.07167072042,-32.438819062369234,-1.7889072683330534,1590.0
135854.60526782798,59954.13655346095,-32.43881659962414,-1.787023451894324,1595.0
135692.4111977953,59945.21086806514,-32.438814006537136,-1.7851370791617958,1600.0
135530.2171413824,59936.29462734698,-32.438811282581945,-1.7832481436329386,1605.0
135368.02309924626,59927.387844153076,-32.43880842722976,-1.7813566387809379,1610.0
135205.8290720465,59918.490531362804,-32.4388054399493,-1.7794625580545764,1615.0
135043.63506044546,59909.60270188841,-32.43880232020673,-1.7775658948781106,1620.0
134881.44106510814,59900.72436867515,-32.4387990674657,-1.7756666426511505,1625.0
134719.2470867022,59891.85554470141,-32.438795681187294,-1.7737647947485389,1630.0
134557.05312589806,59882.99624297881,-32.438792160830005,-1.7718603445202283,1635.0
134394.85918336883,59874.14647655235,-32.43878850584978,-1.7699532852911575,1640.0
134232.66525979032,59865.30625850055,-32.43878471569994,-1.7680436103611248,1645.0
134070.47135584115,59856.475601935526,-32.43878078983119,-1.7661313130046683,1650.0
133908.2774722027,59847.65452000317,-32.43877672769164,-1.7642163864709342,1655.0
133746.08360955905,59838.84302588325,-32.4387725287267,-1.7622988239835535,1660.0
133583.88976859715,59830.04113278955,-32.43876819237916,-1.7603786187405177,1665.0
133421.6959500067,59821.24885396998,-32.43876371808912,-1.7584557639140437,1670.0
133259.50215448023,59812.466202706724,-32.438759105294004,-1.7565302526504507,1675.0
133097.3083827131,59803.69319231637,-32.43875435342849,-1.7546020780700289,1680.0
132935.11463540347,59794.92983615004,-32.43874946192457,-1.752671233266907,1685.0
132772.92091325243,59786.1761475935,-32.4387444302115,-1.750737711308925,1690.0
132610.72721696386,59777.43214006731,-32.43873925771573,-1.7488015052374974,1695.0
132448.53354724456,59768.69782702697,-32.438733943861,-1.7468626080674818,1700.0
132286.33990480422,59759.97322196303,-32.43872848806823,-1.7449210127870498,1705.0
132124.14629035545,59751.25833840125,-32.43872288975553,-1.742976712357545,1710.0
131961.95270461377,59742.55318990268,-32.43871714833821,-1.7410296997133536,1715.0
131799.75914829763,59733.85779006388,-32.43871126322873,-1.739079967761763,1720.0
131637.56562212843,59725.17215251696,-32.43870523383671,-1.7371275093828287,1725.0
