x,y,v_x,v_y,t
104175.0,60145.46429282926,-42.43524478543749,-24.499999999999996,3575.0
103919.48984203054,60043.511681369506,-51.10203159389188,-20.390522291951086,3580.0
103701.93081917221,59917.26741186512,-43.51180457166507,-25.248853900877958,3585.0
103484.37100345883,59791.024513548335,-43.5119631426753,-25.24857966335632,3590.0
103266.81039145296,59664.78299238455,-43.51212240117208,-25.24830423275654,3595.0
103049.2489796876,59538.5428543906,-43.512282353073516,-25.248027598789687,3600.0
102831.68676466573,59412.304105635434,-43.51244300437417,-25.247749751033766,3605.0
102614.12374286,59286.066752240775,-43.51260436114636,-25.247470678931414,3610.0
102396.5599107123,59159.83080038184,-43.51276642954152,-25.24719037178754,3615.0
102178.99526463334,59033.596256288,-43.512929215791594,-25.246908818766933,3620.0
101961.42980100229,58907.363126243545,-43.51309272621042,-25.246626008891806,3625.0
101743.86351616631,58781.131416588345,-43.51325696719517,-25.246341931039286,3630.0
101526.29640644017,58654.90113371865,-43.513421945227854,-25.246056573938848,3635.0
101308.7284681058,58528.67228408781,-43.51358766687675,-25.245769926169732,3640.0
101091.1596974118,58402.444874207016,-43.513754138798056,-25.245481976158207,3645.0
100873.59009057311,58276.218910646145,-43.51392136773731,-25.245192712174877,3650.0
100656.01964377046,58149.994400034484,-43.514089360531145,-25.24490212233188,3655.0
100438.44835314991,58023.771349061586,-43.51425812410883,-25.244610194579995,3660.0
100220.87621482245,57897.549764478055,-43.514427665494004,-25.244316916705753,3665.0
100003.30322486341,57771.329653096414,-43.51459799180634,-25.244022276328437,3670.0
99785.72937931209,57645.11102179193,-43.514769110263344,-25.243726260897,3675.0
99568.15467417118,57518.89387750349,-43.51494102818218,-25.243428857686947,3680.0
99350.57910540627,57392.67822723451,-43.51511375298141,-25.243130053797135,3685.0
99133.00266894535,57266.464078053774,-43.51528729218297,-25.2428298361465,3690.0
98915.42536067829,57140.25143709642,-43.51546165341405,-25.24252819147069,3695.0
98697.84717645624,57014.04031156483,-43.51563684440909,-25.242225106318624,3700.0
98480.26811209119,56887.83070872958,-43.515812873011726,-25.24192056704901,3705.0
98262.6881633553,56761.62263593045,-43.51598974717697,-25.24161455982674,3710.0
98045.10732598043,56635.41610057736,-43.5161674749732,-25.241307070619182,3715.0
97827.5255956575,56509.211110151395,-43.516346064584425,-25.240998085192444,3720.0
97609.94296803593,56383.00767220586,-43.516525524312435,-25.24068758910747,3725.0
97392.35943872304,56256.805794367276,-43.516705862579066,-25.240375567716164,3730.0
97174.7750032834,56130.60548433649,-43.516887087928566,-25.240062006157274,3735.0
96957.18965723825,56004.40674988973,-43.517069209029955,-25.239746889352272,3740.0
96739.60339606486,55878.20959887972,-43.51725223467943,-25.23943020200111,3745.0
96522.01621519585,55752.014039236834,-43.51743617380292,-25.239111928577863,3750.0
96304.42811001856,55625.8200789702,-43.51762103545857,-25.238792053326293,3755.0
96086.83907587436,55499.627726168925,-43.51780682883943,-25.238470560255216,3760.0
95869.24910805798,55373.436989003254,-43.51799356327612,-25.238147433133904,3765.0
95651.65820181678,55247.24787572582,-43.51818124823953,-25.23782265548724,3770.0
95434.06635235007,55121.060394672866,-43.51836989334376,-25.2374962105908,3775.0
95216.47355480833,54994.87455426554,-43.51855950834887,-25.237168081465793,3780.0
94998.8798042925,54868.69036301117,-43.51875010316397,-25.23683825087395,3785.0
94781.28509585325,54742.50782950461,-43.51894168785016,-25.23650670131216,3790.0
94563.68942449013,54616.32696242958,-43.519134272623766,-25.236173415007034,3795.0
94346.09278515083,54490.147770560034,-43.51932786785941,-25.23583837390938,3800.0
94128.49517273037,54363.97026276159,-43.5195224840934,-25.235501559688405,3805.0
93910.89658207023,54237.794447992965,-43.51971813202704,-25.235162953725876,3810.0
93693.29700795758,54111.620335307416,-43.519914822530104,-25.234822537110126,3815.0
93475.69644512435,53985.447933854266,-43.520112566644386,-25.234480290629797,3820.0
93258.09488824641,53859.27725288043,-43.52031137558736,-25.234136194767537,3825.0
93040.49233194263,53733.10830173196,-43.52051126075587,-25.233790229693483,3830.0
92822.88877077398,53606.94108985567,-43.520712233730016,-25.233442375258548,3835.0
92605.2841992426,53480.77562680073,-43.520914306277064,-25.233092610987537,3840.0
92387.67861179082,53354.61192222037,-43.52111749035551,-25.232740916072142,3845.0
92170.07200280023,53228.44998587355,-43.52132179811925,-25.23238726936365,3850.0
91952.46436659062,53102.28982762672,-43.52152724192182,-25.232031649365457,3855.0
91734.85569741901,52976.131457455595,-43.521733834320784,-25.23167403422552,3860.0
