x,y,v_x,v_y,t
86812.5,90218.19643924388,-26.45751311064591,-9.165151389911678,5595.0
86714.51087515269,90126.34382010868,-19.59782496946268,-18.370523827038735,5600.0
86609.5701170574,90031.85411282816,-20.988151619057,-18.897941456103272,5605.0
86508.22094140342,89933.18257440468,-20.269835130797137,-19.73430768469774,5610.0
86416.04673258771,89825.16375467712,-18.43484176313977,-21.603763945512252,5615.0
86286.67897597862,89774.30517616091,-25.87355132181865,-10.171715703243859,5620.0
86157.30818973035,89723.45541976346,-25.874157249653784,-10.16995127949085,5625.0
86042.15651359846,89643.0352799832,-23.03033522637982,-16.084027956050413,5630.0
85912.76337813356,89592.2506623113,-25.878627092980537,-10.156923534380685,5635.0
85783.36720452702,89541.47490763273,-25.87923472130848,-10.155150935715636,5640.0
85653.96798875858,89490.70802961361,-25.87984315368864,-10.153375603823168,5645.0
85524.56572679663,89439.95004196203,-25.880452392389678,-10.15159753031562,5650.0
85395.16041459818,89389.20095842819,-25.881062439690087,-10.149816706766739,5655.0
85265.7520481088,89338.46079280463,-25.881673297878272,-10.148033124711407,5660.0
85136.34062326254,89287.72955892641,-25.88228496925259,-10.146246775645427,5665.0
85006.92613598194,89237.00727067128,-25.882897456121412,-10.144457651025267,5670.0
84877.50858217792,89186.29394195994,-25.8835107608032,-10.142665742267816,5675.0
84748.08795774978,89135.58958675619,-25.88412488562652,-10.140871040750152,5680.0
84618.66425858514,89084.89421906715,-25.88473983293016,-10.139073537809299,5685.0
84489.23748055982,89034.20785294344,-25.88535560506316,-10.13727322474195,5690.0
84359.8076195379,88983.53050247942,-25.885972204384863,-10.13547009280424,5695.0
84230.37467137157,88932.86218181337,-25.886589633265004,-10.133664133211507,5700.0
84100.93863190115,88882.20290512768,-25.887207894083748,-10.131855337137992,5705.0
83971.49949695499,88831.5526866491,-25.88782698923176,-10.13004369571663,5710.0
83842.05726234944,88780.9115406489,-25.88844692111028,-10.128229200038767,5715.0
83712.61192388878,88730.27948144313,-25.889067692131157,-10.1264118411539,5720.0
83583.16347736519,88679.65652339278,-25.889689304716953,-10.124591610069427,5725.0
83453.71191855868,88629.04268090404,-25.890311761300964,-10.122768497750371,5730.0
83324.25724323704,88578.43796842844,-25.890935064327312,-10.12094249511912,5735.0
83194.79944715578,88527.84240046317,-25.891559216251014,-10.11911359305515,5740.0
83065.33852605808,88477.2559915512,-25.89218421953802,-10.117281782394773,5745.0
82935.87447567476,88426.67875628154,-25.892810076665302,-10.115447053930836,5750.0
82806.40729172416,88376.11070928948,-25.893436790120926,-10.113609398412468,5755.0
82676.93696991213,88325.55186525676,-25.894064362404084,-10.111768806544806,5760.0
82547.463505932,88275.00223891181,-25.894692796025208,-10.109925268988693,5765.0
82417.98689546446,88224.46184503,-25.895322093506,-10.108078776360419,5770.0
82288.50713417756,88173.93069843385,-25.89595225737952,-10.106229319231414,5775.0
82159.0242177266,88123.40881399321,-25.89658329019025,-10.104376888127995,5780.0
82029.53814175414,88072.89620662556,-25.897215194494166,-10.102521473531052,5785.0
81900.04890188984,88022.39289129619,-25.89784797285881,-10.10066306587575,5790.0
81770.55649375053,87971.89888301842,-25.898481627863344,-10.098801655551263,5795.0
81641.06091294004,87921.41419685392,-25.899116162098654,-10.096937232900462,5800.0
81511.5621550492,87870.93884791282,-25.899751578167383,-10.095069788219625,5805.0
81382.06021565579,87820.47285135403,-25.900387878684036,-10.09319931175813,5810.0
81252.55509032441,87770.01622238544,-25.90102506627503,-10.091325793718152,5815.0
81123.04677460653,87719.56897626417,-25.901663143578784,-10.08944922425436,5820.0
80993.5352640403,87669.13112829681,-25.902302113245785,-10.087569593473617,5825.0
80864.0205541506,87618.70269383963,-25.902941977938667,-10.085686891434662,5830.0
80734.50264044893,87568.28368829889,-25.90358274033227,-10.083801108147792,5835.0
80604.98151843337,87517.87412713101,-25.904224403113737,-10.08191223357457,5840.0
80475.45718358846,87467.47402584288,-25.904866968982592,-10.08002025762747,5845.0
80345.9296313852,87417.08339999203,-25.905510440650797,-10.078125170169596,5850.0
