x,y,v_x,v_y,t
104175.0,60145.46429282926,-28.0,0.0,8275.0
104009.95508166632,60133.8858604582,-33.008983666735,-2.315686474211755,8280.0
103869.14468096645,60132.65421344653,-28.162080139976364,-0.24632940233368592,8285.0
103728.33428210586,60131.42776804695,-28.162079772116577,-0.24528907991512505,8290.0
103587.52388528663,60130.206545749694,-28.162079363844594,-0.2442444594518919,8295.0
103446.71349071331,60128.99056822275,-28.162078914663468,-0.24319550538944734,8300.0
103305.90309859297,60127.7798573141,-28.162078424068717,-0.2421421817306869,8305.0
103165.09270913524,60126.57443505395,-28.162077891548147,-0.2410844520285619,8310.0
103024.28232255233,60125.37432365706,-28.16207731658177,-0.24002227937854564,8315.0
102883.47193905912,60124.179545525,-28.16207669864158,-0.23895562641096485,8320.0
102742.66155887317,60122.990123248586,-28.16207603719147,-0.2378844552831433,8325.0
102601.85118221473,60121.80607961023,-28.162075331687006,-0.23680872767138897,8330.0
102461.04080930685,60120.627437586416,-28.162074581575332,-0.235728404762814,8335.0
102320.23044037538,60119.454220350184,-28.162073786294968,-0.23464344724697597,8340.0
102179.420075649,60118.28645127365,-28.16207294527565,-0.23355381530734182,8345.0
102038.60971535931,60117.124153930585,-28.16207205793816,-0.2324594686125622,8350.0
101897.79935974085,60115.96735209905,-28.162071123694155,-0.23136036630757006,8355.0
101756.98900903112,60114.81606976403,-28.162070141945982,-0.23025646700447866,8360.0
101616.1786634707,60113.67033112016,-28.162069112086485,-0.22914772877327302,8365.0
101475.3683233032,60112.530160574504,-28.162068033498844,-0.22803410913230784,8370.0
101334.55798877543,60111.39558274931,-28.162066905556358,-0.22691556503859278,8375.0
101193.74766013732,60110.26662248492,-28.16206572762225,-0.225792052877865,8380.0
101052.93733764207,60109.14330484265,-28.162064499049468,-0.22466352845444273,8385.0
100912.24162822467,60105.85228676673,-28.13914188347923,-0.6582036151837448,8390.0
100771.43133062928,60104.75000083006,-28.16205951907902,-0.2204571873324926,8395.0
100630.6210403516,60103.65343428299,-28.162058055533414,-0.21931330941434388,8400.0
100489.81075766015,60102.56261310175,-28.16205653829114,-0.2181642362478801,8405.0
100349.00048282692,60101.477563498906,-28.162054966647244,-0.2170099205685469,8410.0
100208.19021612749,60100.39831192658,-28.16205333988515,-0.21585031446449007,8415.0
100067.37995784111,60099.32488507976,-28.162051657276365,-0.21468536936467483,8420.0
99926.56970825071,60098.25730989963,-28.162049918080285,-0.21351503602675082,8425.0
99785.75946764299,60097.19561357701,-28.162048121543926,-0.21233926452462726,8430.0
99644.94923630847,60096.13982355583,-28.162046266901644,-0.2111580042357629,8435.0
99504.1390145416,60095.08996753669,-28.1620443533749,-0.2099712038281539,8440.0
99363.32880264074,60094.04607348045,-28.162042380171957,-0.20877881124703102,8445.0
99222.5186009083,60093.008169611945,-28.162040346487633,-0.20758077370122163,8450.0
99081.70840965078,60091.9762844237,-28.162038251502977,-0.20637703764921392,8455.0
98940.89822917886,60090.95044667977,-28.162036094385005,-0.2051675487848581,8460.0
98800.08805980743,60089.93068541966,-28.16203387428638,-0.2039522520227618,8465.0
98659.2779018557,60088.91702996224,-28.1620315903451,-0.20273109148330642,8470.0
98518.46775564729,60087.909509909856,-28.162029241684202,-0.20150401047730748,8475.0
98377.65762151022,60086.90815515241,-28.162026827411406,-0.20027095149033347,8480.0
98236.84749977713,60085.91299587157,-28.162024346618796,-0.1990318561665888,8485.0
98096.03739078522,60084.924062545106,-28.16202179838247,-0.19778666529243635,8490.0
97955.22729487641,60083.941385951206,-28.162019181762194,-0.19653531877952696,8495.0
97814.41721239741,60082.96499717297,-28.162016495801026,-0.19527775564747873,8500.0
97673.60714369979,60081.99492760294,-28.16201373952496,-0.19401391400614124,8505.0
97532.79708914008,60081.03120894775,-28.162010911942513,-0.19274373103742276,8510.0
97391.98704907985,60080.07387323287,-28.162008012044364,-0.19146714297665043,8515.0
97251.17702388583,60079.1229528074,-28.162005038802942,-0.1901840850934618,8520.0
97110.36701392996,60078.178480349045,-28.16200199117199,-0.1888944916722332,8525.0
96969.55701958953,60077.24048886909,-28.161998868086158,-0.18759829599196895,8530.0
96828.74704124722,60076.30901171756,-28.16199566846056,-0.1862954303057141,8535.0
96687.93707929127,60075.38408258846,-28.16199239119031,-0.18498582581941403,8540.0
96547.12713411552,60074.46573552511,-28.161989035150082,-0.1836694126702376,8545.0
96406.31720611955,60073.55400492559,-28.16198559919361,-0.18234611990433774,8550.0
96265.50729570878,60072.64892554832,-28.16198208215321,-0.18101587545401315,8555.0
96124.69740329459,60071.75053251775,-28.16197848283926,-0.1796786061143026,8560.0
95983.88752929438,60070.858861330154,-28.16197480003971,-0.17833423751892202,8565.0
95843.07767413178,60069.97394785957,-28.161971032519514,-0.1769826941155889,8570.0
95702.26783823669,60069.09582836387,-28.161967179020102,-0.1756238991406806,8575.0
95561.4580220454,60068.224539490904,-28.161963238258807,-0.17425777459322483,8580.0
95418.15617435057,60073.2789700674,-28.660369538963387,1.010886115299009,8585.0
95274.85425503629,60078.308436740954,-28.660383862856417,1.0058933347110979,8590.0
95131.5522681853,60083.312797757266,-28.660397370197416,1.0008722032624986,8595.0
94988.25021795277,60088.291909764,-28.66041004650883,0.9958224013458782,8600.0
94844.94810856773,60093.245627783705,-28.660421877007213,0.9907436039410245,8605.0
94701.64594433476,60098.17380518617,-28.66043284659523,0.9856354804921861,8610.0
94558.34372963548,60103.07629366008,-28.660442939853404,0.9804976947818931,8615.0
94415.04146893033,60107.952943184086,-28.66045214103165,0.9753299048011783,8620.0
94271.73916676013,60112.80360199716,-28.660460434040502,0.9701317626160608,8625.0
94128.43682774792,60117.62811656831,-28.660467802442074,0.9649029142301578,8630.0
93985.13445660072,60122.426331565526,-28.66047422944073,0.9596429994433009,8635.0
93841.83205811135,60127.19808982406,-28.660479697873438,0.9543516517060183,8640.0
93698.52963716035,60131.943232313904,-28.660484190199842,0.9490284979697223,8645.0
93555.22719871788,60136.66159810657,-28.660487688491955,0.9436731585324649,8650.0
93411.92474784577,60141.35302434097,-28.660490174423597,0.9382852468800627,8655.0
93268.62228969947,60146.01734618858,-28.66049162925937,0.9328643695225234,8660.0
93125.31982953026,60150.65439681771,-28.660492033843394,0.9274101258254657,8665.0
92982.01737268732,60155.26400735689,-28.66049136858755,0.9219221078364588,8670.0
92838.71492462003,60159.84600685742,-28.660489613459408,0.9163999001060729,8675.0
92695.41249088018,60164.40022225494,-28.660486747969692,0.910843079503407,8680.0
92552.11007712438,60168.92647833007,-28.660482751159382,0.905251215025907,8685.0
92408.80768911645,60173.42459766808,-28.660477601586276,0.899623867603307,8690.0
92265.5053327299,60177.89440061756,-28.660471277311217,0.8939605898953932,8695.0
92122.20301395048,60182.33570524798,-28.660463755883708,0.8882609260834247,8700.0
91978.90073887885,60186.74832730625,-28.66045501432712,0.8825244116549337,8705.0
91835.59851373323,60191.13208017216,-28.660445029123377,0.8767505731816714,8710.0
91692.29634485225,60195.48677481261,-28.660433776197006,0.870938928090422,8715.0
91548.99423869775,60199.81221973475,-28.66042123089874,0.8650889844263903,8720.0
91405.6922018578,60204.10822093779,-28.66040736798848,0.8592002406089462,8725.0
91262.39024104971,60208.37458186369,-28.66039216161763,0.8532721851793414,8730.0
91119.08836312316,60212.61110334639,-28.660375585310806,0.8473042965401116,8735.0
90975.78657506342,60216.817583559816,-28.660357611946903,0.8412960426858577,8740.0
90832.48488399472,60220.99381796444,-28.660338213739415,0.8352468809250403,8745.0
90689.18329718364,60225.1395992524,-28.660317362216094,0.829156257592407,8750.0
90545.88182204265,60229.25471729116,-28.660295028197798,0.8230236077517147,8755.0
90402.58046613376,60233.3389590656,-28.660271181776583,0.8168483548883151,8760.0
90259.27923717229,60237.39210861856,-28.66024579229293,0.8106299105912177,8765.0
90115.97814303073,60241.413946989676,-28.66021882831218,0.8043676742241421,8770.0
89972.67719174274,60245.4042521526,-28.66019025759998,0.7980610325851738,8775.0
89829.37639150725,60249.36279895037,-28.66016004709687,0.7917093595544682,8780.0
89686.07575069279,60253.28935902902,-28.660128162891848,0.7853120157295651,8785.0
89542.77527784182,60257.18370076926,-28.660094570194875,0.7788683480477715,8790.0
89399.47498167527,60261.045589216235,-28.660059233308385,0.7723776893949769,8795.0
89256.17487109729,60264.87478600724,-28.6600221155976,0.7658393582004668,8800.0
89112.8749552,60268.67104929732,-28.65998317945967,0.7592526580169743,8805.0
88969.57524326854,60272.43413368275,-28.659942386291647,0.7526168770854358,8810.0
88826.27574478625,60276.16379012217,-28.65989969645707,0.7459312878836758,8815.0
88682.97646944,60279.859765855465,-28.65985506925129,0.7391951466584337,8820.0
88539.67742712567,60283.52180432016,-28.659808462865286,0.7324076929398525,8825.0
88396.37862795393,60287.14964506535,-28.65975983434808,0.7255681490377367,8830.0
88253.0800822561,60290.743023662944,-28.659709139567525,0.7186757195186542,8835.0
88109.78180059025,60294.30167161626,-28.659656333169508,0.7117295906631605,8840.0
87966.48379374757,60297.82531626577,-28.659601368535373,0.7047289299020407,8845.0
87823.18607275888,60301.31368069193,-28.659544197737624,0.6976728852307232,8850.0
87679.88864890141,60304.766483614934,-28.659484771493652,0.6905605846007983,8855.0
87536.59153370582,60308.18343929137,-28.659423039117534,0.6833911352875706,8860.0
